,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4mod7-v0_94.qasm,63,153,0.034546467999916786,57,150,3.5840774589999,78,178,0.38314847700007704,33,122,0.0029426280000279803
z4_268.qasm,1461,3163,0.8880643869999858,957,2520,129.89054540899997,1257,2796,10.626810171999978,1062,2640,0.07754888499994195
cm82a_208.qasm,345,637,0.25277960599987637,270,580,51.10396694699989,333,657,3.798892297999828,279,592,0.12436654600014663
aj-e11_165.qasm,102,204,0.07973314800005937,96,190,0.19650350699998853,96,190,0.1845853120000811,21,106,0.0028484199999638804
alu-v0_26.qasm,6,58,0.0102570569999898,6,57,0.01863015499998255,6,57,0.022760893999929976,42,92,0.0032614660001399898
sym6_316.qasm,120,247,0.09080889900019429,126,237,22.245168883999895,171,272,1.3905226509998556,120,232,0.010883614000022135
decod24-bdd_294.qasm,48,88,0.028866853999943487,12,50,0.08715967699981775,12,50,0.088420995999968,24,63,0.0024464870000429073
dc1_220.qasm,885,1988,0.6948523130001831,504,1481,68.164762354,675,1678,3.6151870689998304,924,1987,0.06968357000005199
decod24-enable_126.qasm,189,383,0.17678197400005047,144,332,37.22167829800014,156,355,1.74275161200012,108,289,0.09704445100010162
one-two-three-v2_100.qasm,21,62,0.036926311999877726,24,65,0.21169737199988958,24,65,0.1683839810000336,21,61,0.005294958999911614
mod5adder_127.qasm,105,407,0.23028090800016798,114,396,11.425089469000113,240,544,1.432361918999959,192,493,0.01715849199990771
one-two-three-v3_101.qasm,24,67,0.01671715099996618,21,66,0.040384856000173386,21,66,0.058301554999843574,33,77,0.004536304999874119
mod8-10_177.qasm,174,426,0.11885689100017771,135,390,13.742489146000025,150,408,0.9217841460001637,174,424,0.024283817999958046
sf_276.qasm,219,678,0.18531957000004695,153,572,34.70964176000007,351,789,2.8439629959998456,312,753,0.021796741000116526
cm42a_207.qasm,594,1558,0.42293647199994666,588,1477,73.85011131600004,672,1544,3.48173131700014,711,1632,0.04170850199989218
4gt12-v1_89.qasm,102,223,0.06280907400014257,66,197,0.6041023019997738,66,194,0.30462354100018274,57,178,0.004522041000200261
pm1_249.qasm,831,1814,0.49029220000011264,453,1354,63.28701865100038,663,1563,4.337255628999628,711,1632,0.04304305200003
mod10_171.qasm,99,237,0.06226844499997242,69,204,12.668327395000233,96,228,0.830585166000219,66,200,0.0048234589999083255
decod24-v1_41.qasm,3,53,0.007446682000136207,3,53,0.014052934000119421,3,53,0.016330973000094673,33,86,0.0025743490000422753
4gt12-v0_88.qasm,72,179,0.1819944700000633,30,136,5.642736619000061,99,221,1.0462267620000603,87,184,0.005112303999794676
rd53_138.qasm,54,106,0.033532932000071014,45,100,8.535053027999766,54,95,1.4289893659997688,39,89,0.0045973319997756334
4gt4-v0_79.qasm,90,226,0.057675956999901246,87,224,11.32295280199969,72,200,0.8423298010002327,108,245,0.006813164000050165
alu-v3_34.qasm,24,59,0.015882126000178687,18,50,0.05737198900033036,18,50,0.06748505599989585,30,57,0.003184830000009242
decod24-v3_45.qasm,78,164,0.0465261740000642,60,149,8.285387129000355,66,152,0.5798160899998948,42,127,0.004269288999694254
4gt4-v0_80.qasm,132,241,0.07455018200016639,48,150,4.2661115010000685,75,175,0.4434819789998983,84,187,0.005629914000110148
mod8-10_178.qasm,123,308,0.07856666599991513,117,301,11.814621631999671,171,351,0.991330077999919,42,218,0.00533642799973677
hwb4_49.qasm,129,268,0.06863595599998007,99,239,21.410477248000007,126,265,0.9171242679999523,99,235,0.008155390999945666
4mod5-bdd_287.qasm,6,47,0.010601308999866887,6,47,0.02134245099978216,6,47,0.025472587999956886,30,73,0.004064533000018855
decod24-v0_38.qasm,9,40,0.008020712999950774,9,41,0.02476061299967114,9,41,0.027130087000386993,21,51,0.002462342000399076
4gt4-v1_74.qasm,108,260,0.07478911499993046,81,235,12.535086475000298,99,255,0.93356335999988,84,241,0.005575010000029579
4gt12-v0_87.qasm,6,138,0.03427137300013783,6,138,1.1490941160000148,6,138,0.06135132000008525,111,254,0.007137263999993593
4gt12-v0_86.qasm,9,145,0.023929392999889387,9,145,2.058645512000112,9,145,0.06473288799998045,114,259,0.00769591100015532
4mod5-v1_23.qasm,45,95,0.0211863380000068,36,79,0.05722357500008002,36,82,0.059216659999947296,12,50,0.0016242369997598871
sf_274.qasm,324,758,0.218687515000056,213,633,19.21780779100027,339,781,1.082720314999733,270,693,0.017410024000128033
4mod5-v0_18.qasm,27,73,0.016367519999676006,21,65,0.05525730699991982,21,63,0.045945464000396896,12,49,0.0015636620000805124
majority_239.qasm,276,619,0.1673410389998935,231,571,29.289411220000147,150,491,1.0750617110002167,261,598,0.013519167000140442
hwb5_53.qasm,501,1239,0.4701586229998611,375,1133,71.98860925600002,567,1325,4.249587521999729,540,1292,0.025136198999916815
ham7_104.qasm,108,296,0.07914344900018477,102,285,13.820978950000153,108,294,0.752111982000315,81,266,0.006021461000273121
rd53_135.qasm,156,322,0.09409521399993537,102,259,16.10962989599966,138,288,1.2847386710000137,102,243,0.007612192999658873
rd32_270.qasm,57,109,0.03190891400026885,33,83,4.499273072999586,33,81,0.2593290899999374,18,63,0.002824190999945131
cm152a_212.qasm,333,1012,0.23168790900035674,243,927,13.071522010999615,462,1166,2.638294486000177,465,1108,0.03246378399990135
4gt10-v1_81.qasm,87,187,0.052206956000190985,72,159,0.1751529110001684,72,159,0.15277444299999843,42,125,0.003531548999944789
qft_10.qasm,54,161,0.04525996800020948,72,105,8.157641831000092,90,119,0.7517047719998118,81,183,0.004656684000110545
rd53_251.qasm,447,1186,0.3549615020001511,396,1092,67.55150150300005,510,1209,3.364670405000197,561,1242,0.030919855999854917
squar5_261.qasm,1050,2065,0.8342351169999347,603,1582,56.958149177999985,1005,1897,5.686218153000027,792,1768,0.04548519699983444
4gt4-v0_78.qasm,78,226,0.0511451610000222,93,227,6.852959126000314,111,245,0.5496029819996693,114,256,0.007088855999882071
4gt13-v1_93.qasm,45,92,0.022413658000004943,36,78,0.03827316500019151,36,78,0.043980950999866764,18,55,0.0032624820000819454
4gt4-v0_73.qasm,165,394,0.11668682500021532,150,380,40.604981649000365,159,371,1.1202092509997783,180,399,0.01238227600015307
one-two-three-v0_97.qasm,114,300,0.06359862799990879,102,280,3.70684168400021,102,282,0.22046155899988662,120,295,0.005853556000147364
rd84_142.qasm,210,266,0.18009259600012228,129,179,68.07001096800013,159,203,2.240196588999879,147,218,0.009572828999807825
4mod7-v1_96.qasm,84,183,0.05318026299983103,66,163,16.356365144999927,66,167,0.44127728900002694,78,182,0.00521126000012373
f2_232.qasm,327,1007,0.3576246229999924,207,876,20.499654026999906,273,937,1.7686579709998114,414,1072,0.0335517799999252
sym9_146.qasm,147,293,0.09528696199959086,120,236,23.89384294399997,153,252,1.6955852310002228,126,244,0.008406153999658272
alu-v4_36.qasm,54,115,0.030818843999895762,24,87,2.230260656000155,66,131,0.3237507940002615,33,95,0.003539260999787075
alu-bdd_288.qasm,30,72,0.01849075600011929,21,60,2.4263278570001603,24,56,0.23177429599991228,48,82,0.004107661000034568
4gt5_75.qasm,6,54,0.00922873699983029,6,54,0.032920379000188404,6,54,0.03534773399996993,30,81,0.004867678999744385
alu-v2_32.qasm,72,164,0.04581158199971469,75,172,1.328173574000175,75,172,0.22726725499978784,63,157,0.0038735440002710675
qft_16.qasm,249,406,0.21275594000007914,276,262,45.843004629999996,462,353,29.483496823000223,219,419,0.009987347000333102
decod24-v2_43.qasm,24,59,0.01824444299973038,18,51,0.056541581000146834,18,51,0.0648134579996622,21,53,0.0040798990003168
cnt3-5_180.qasm,180,347,0.16299138900012622,174,342,19.311554102999708,168,338,1.7726169110001138,156,368,0.011894166999809386
sqrt8_260.qasm,1632,3241,1.2516375020004489,1137,2668,112.5177814839999,1527,3029,9.976528389000123,1524,3052,0.10097327999937988
4gt13_92.qasm,24,58,0.018346132000260695,12,50,0.04992299299919978,12,47,0.057195016000150645,18,57,0.0018426260003252537
cnt3-5_179.qasm,126,151,0.09439917500003503,87,127,11.925666287999775,120,134,1.0797302139999374,105,159,0.008786567999777617
ex2_227.qasm,240,600,0.17910063499948592,183,538,16.71059552599945,270,625,4.132577369000501,294,638,0.016463532000670966
rd73_140.qasm,114,211,0.10257231899959152,72,163,5.875552896000045,87,166,1.0268175310002334,75,154,0.03823910399933084
mod5d2_64.qasm,39,73,0.031971448000149394,24,59,2.710609855000257,24,58,0.15701628399983747,30,66,0.0024639860002935166
wim_266.qasm,285,794,0.28387284800010093,276,756,21.02411550800025,372,859,2.8400031410001247,444,946,0.0508364020006411
rd53_133.qasm,201,520,0.1566402640000888,99,419,12.119426536999526,171,498,0.8641207199998462,321,623,0.02442905000043538
4gt4-v0_72.qasm,168,309,0.10188661400025012,75,211,14.239713762000065,93,228,0.616073316999973,102,230,0.006572921999577375
