,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
4gt4-v0_80.qasm,79,120,248,0.10737532400071359,0,111,214,0.1412169779996475,0,0,105,209,0.403274966999561,0,96,197,2.450749578999421,0,16
mod8-10_178.qasm,152,258,415,0.13812375899942708,0,276,409,0.24729044800005795,0,0,225,421,1.6134624029991755,0,261,472,6.763829649999934,0,16
hwb4_49.qasm,107,168,314,0.09549613499984844,0,144,281,0.13599024700033624,0,0,141,283,1.4137344500004474,0,179,319,3.5698974110000563,0,16
4mod5-bdd_287.qasm,31,51,90,0.031923343999551435,0,63,105,0.14907321899954695,0,0,45,84,0.26944440900024347,0,55,90,0.8422266349998608,0,16
4gt11_84.qasm,9,9,21,0.0115946409996468,0,9,20,0.07089357599943469,0,0,9,21,0.013997910999933083,0,6,18,0.12366156999996747,0,16
decod24-v0_38.qasm,23,30,63,0.02460228299969458,0,27,59,0.07333682199987379,0,0,27,62,0.07777028500004235,0,25,60,0.36239436800042313,0,16
ising_model_10.qasm,90,0,70,0.13784984099947906,0,48,97,0.24661671100056992,0,0,0,70,0.14670281899998372,0,21,66,0.6476030439998794,0,16
4mod5-v0_19.qasm,16,27,49,0.020856488999925205,0,21,40,0.07689965700046741,0,0,21,44,0.11244514400004846,0,27,50,0.33549559400034923,0,16
4gt4-v1_74.qasm,119,189,366,0.13364578199980315,0,183,349,0.26513944400085165,0,0,165,329,1.6394715410006029,0,174,345,4.495237457999792,0,16
4mod5-v1_22.qasm,11,15,28,0.02183831700040173,0,18,30,0.08002717799990933,0,0,12,25,0.016639825999845925,0,14,27,0.20748598099999072,0,16
4gt12-v0_87.qasm,112,171,315,0.08464001599986659,0,171,303,0.1744552290001593,0,0,150,287,3.3234952499997235,0,189,322,4.538346934999936,0,16
alu-v1_29.qasm,17,18,42,0.016350232000149845,0,27,44,0.07647859400003654,0,0,21,46,0.029311313000107475,0,24,50,0.2333025819998511,0,16
4gt12-v0_86.qasm,116,159,330,0.08806543300033809,0,162,284,0.18789408199972968,0,0,156,289,2.222968129000037,0,180,315,4.0717374469995775,0,16
alu-v1_28.qasm,18,24,45,0.017806668000048376,0,24,40,0.0740059839999958,0,0,21,46,0.024906385000576847,0,24,46,0.2313739329993041,0,16
4mod5-v1_23.qasm,32,54,105,0.029432579999593145,0,54,96,0.162918394999906,0,0,54,98,0.0352810109998245,0,54,100,0.580159201999777,0,16
sf_274.qasm,336,663,1186,0.29773046399986924,0,627,1073,0.30107063700052095,0,0,600,1090,3.736999439999636,0,515,986,11.869156437000129,0,16
4mod5-v0_18.qasm,31,51,98,0.026591040999846882,0,48,89,0.07601967199934734,0,0,48,91,0.05075906500042038,0,42,84,0.5000452980002592,0,16
majority_239.qasm,267,450,822,0.21937427800003206,0,627,965,0.4064530850000665,0,0,441,793,4.755229824000708,0,381,750,8.435558174000107,0,16
hwb5_53.qasm,598,1008,1856,0.4932999490001748,0,867,1623,0.5384634540005209,0,0,825,1626,8.062269033999655,0,956,1753,22.729718904999572,0,16
