,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
adr4_197.qasm,1498,1572,3486,1.367694381000092,0,1254,2991,1.817733922999878,0,0,1092,2778,33.30143066400001,0,2163,3838,42.172607406,0,16
one-two-three-v1_99.qasm,59,72,165,0.05982746400013639,0,42,113,0.12854132300003585,0,0,66,146,0.08228215000008277,0,66,144,0.5889238299998851,0,16
mini-alu_167.qasm,126,102,282,0.09751787200002582,0,66,224,0.19659772499994688,0,0,60,226,0.9177150680000068,0,114,283,1.4533278309997968,0,16
alu-v2_30.qasm,223,129,413,0.13613727899996775,0,120,388,0.25641606699991826,0,0,63,333,1.1633461669998724,0,297,605,4.004445150000038,0,16
4gt5_76.qasm,46,33,91,0.03129041200008942,0,27,85,0.09812528400016163,0,0,33,94,0.09257309999998142,0,67,129,0.45635636199995133,0,16
rd53_131.qasm,200,216,505,0.15750743100011277,0,114,366,0.17212267100012468,0,0,153,416,1.406983185000172,0,226,472,3.5936603950001427,0,16
mini_alu_305.qasm,77,42,108,0.03963372999987769,0,45,112,0.09414589799985151,0,0,42,101,0.832723119999855,0,106,164,0.8069036980000419,0,16
4mod7-v0_94.qasm,72,12,105,0.03129923800020151,0,33,127,0.10265700599984484,0,0,12,103,0.12246850500014261,0,39,135,0.3921885030001704,0,16
z4_268.qasm,1343,1500,3168,0.8434483190001174,0,1197,2789,1.2485300099999677,0,0,912,2412,29.735783868999988,0,1739,3273,19.300442045999944,0,16
cm82a_208.qasm,283,207,562,0.18819395600007738,0,165,477,0.24874380999995083,0,0,147,480,3.704414605000011,0,241,569,2.8546727320001537,0,16
aj-e11_165.qasm,69,30,121,0.04373411300002772,0,42,131,0.13755388799995671,0,0,36,125,0.04517261499995584,0,72,163,0.5338050069999554,0,16
alu-v0_26.qasm,38,57,98,0.03178466700001081,0,24,67,0.10136203999991267,0,0,42,92,0.29586561500013886,0,36,85,0.4326039499999297,0,16
sym6_316.qasm,123,126,243,0.08615200899998854,0,117,240,0.1494879829999718,0,0,90,198,2.6805038539998804,0,189,280,2.212698183000157,0,16
decod24-bdd_294.qasm,32,12,50,0.021042497000053118,0,15,53,0.16945071500003905,0,0,12,51,0.03759511399994153,0,24,67,0.2057228880000821,0,16
miller_11.qasm,23,0,29,0.011704454999971858,0,0,29,0.06883237799979725,0,0,0,29,0.016204216000005545,0,27,61,0.15714064899998448,0,16
rd32-v1_68.qasm,16,9,34,0.013013812000053804,0,15,38,0.0689271539999936,0,0,9,32,0.015503305999800432,0,5,30,0.13828957500004435,0,16
dc1_220.qasm,833,528,1590,0.912515348999932,0,618,1594,1.511755002999962,0,0,453,1456,19.441584052000053,0,898,1955,16.75710245099981,0,16
decod24-enable_126.qasm,149,129,345,0.2241608700001052,0,144,337,0.18762166400028946,0,0,69,255,1.376751110999976,0,195,377,2.271074975999909,0,16
one-two-three-v2_100.qasm,32,24,71,0.024427685999853566,0,33,75,0.10549829999990834,0,0,24,68,0.034090743999968254,0,51,94,0.4194855460000326,0,16
mod5adder_127.qasm,239,171,496,0.15304531600031623,0,159,418,0.2918255660001705,0,0,168,470,4.004707006999979,0,235,549,2.5965859400002955,0,16
one-two-three-v3_101.qasm,32,24,67,0.05695146200014278,0,24,68,0.1157624309998937,0,0,24,67,0.03548296799999662,0,49,90,0.35524580699984654,0,16
4mod5-v0_20.qasm,10,9,22,0.011205499999960011,0,9,22,2.7784055160000207,0,0,9,23,0.018436425999880157,0,12,25,0.11932071199998973,0,16
mod8-10_177.qasm,196,180,454,0.21641632400042,0,117,353,0.18046360600010303,0,0,138,395,1.163674130000345,0,172,434,2.561897066000256,0,16
ising_model_13.qasm,120,9,117,0.18307989899994936,0,42,137,0.5260275559999172,0,0,27,103,0.1985347989998445,0,45,125,1.077287415000228,0,16
sf_276.qasm,336,411,905,0.2461662180003259,0,228,648,0.3175090659997295,0,0,129,567,2.1911460110000007,0,472,931,5.204521525000018,0,16
cm42a_207.qasm,771,525,1489,0.4359207329998753,0,501,1432,0.6452941030001966,0,0,372,1279,5.44587486599994,0,989,1880,12.018988124000316,0,16
4gt12-v1_89.qasm,100,39,175,0.06603899899982935,0,54,172,0.14092894099985642,0,0,36,160,0.22148531099992397,0,87,224,0.815291530000195,0,16
alu-v0_27.qasm,17,12,32,0.017554669000219292,0,6,21,0.08220962899986262,0,0,12,32,0.02345809600001303,0,18,43,0.23170647000006284,0,16
pm1_249.qasm,771,522,1459,0.5557791679998445,0,480,1385,0.6472274080001625,0,0,414,1307,7.450892331999967,0,922,1799,10.191932585999893,0,16
mod5mils_65.qasm,16,0,21,0.011816821999673266,0,0,21,0.06431203100009952,0,0,0,21,0.011495560000184923,0,21,44,0.12823593599978267,0,16
mod10_171.qasm,108,81,218,0.06270687300002464,0,87,226,0.6798513290000301,0,0,105,245,1.1339284319997205,0,78,207,0.9931084849999934,0,16
ex1_226.qasm,5,3,8,0.006711894000090979,0,3,8,0.05620508599986351,0,0,3,8,0.006886143999963679,0,3,8,0.08442493700022169,0,16
ex-1_166.qasm,9,0,12,0.007903915000042616,0,0,12,0.06200271199986673,0,0,0,12,0.008021335000194085,0,9,22,0.09031691000018327,0,16
