,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,A* CNOTs,A* Depth,A* Time
adr4_197.qasm,3087,4680,1.4705709810000371,2904,3781,51.55693128600001,3051,4698,2034.411449631,2937,4477,0.2372077969998827
one-two-three-v1_99.qasm,105,200,0.0520797260001018,99,167,0.07833277600002475,105,197,0.054871032000392006,111,181,0.005464791000122204
mini-alu_167.qasm,234,402,0.11303910700007691,228,364,0.33648954099999173,222,402,8.858594753000034,252,407,0.01100130699978763
alu-v2_30.qasm,459,786,0.20393631600018125,396,548,0.3302174929999637,432,761,367.2099550769999,390,690,0.03714047100038442
4gt5_76.qasm,72,141,0.033300292000603804,72,120,0.0593800349997764,72,140,0.029242919999887818,78,132,0.004246065999723214
rd53_131.qasm,372,656,0.24915225499989901,378,543,0.49839410399999906,351,622,15.20409281100001,378,632,0.01501132300018071
mini_alu_305.qasm,138,168,0.06444632100010494,120,143,2.5399776309996014,132,161,3.4661169049995806,135,162,0.005059494999841263
4mod7-v0_94.qasm,117,234,0.05018595099954837,117,200,0.12363774899949931,117,234,0.1812296439993588,108,212,0.003911379999408382
z4_268.qasm,2601,4166,1.1675411670003086,2535,3570,64.89221904500027,2580,4184,1149.905617728,2427,4070,0.13241725300031248
cm82a_208.qasm,519,842,0.2432145840002704,552,654,3.735286694000024,513,797,289.73998877400027,531,841,0.016761625999606622
aj-e11_165.qasm,117,212,0.04898776400023053,99,188,0.06609563300025911,111,215,0.3158225790002689,99,189,0.003939855999306019
alu-v0_26.qasm,66,123,0.026601565000419214,66,108,0.045574216000204615,63,119,0.06808767699931195,72,118,0.00368632899971999
sym6_316.qasm,255,349,0.11415721499997744,276,280,7.498100140999668,234,347,11.519631647999631,243,341,0.010949708000225655
decod24-bdd_294.qasm,60,97,0.028512335999948846,51,94,0.09275342999990244,57,92,0.048993946999871696,45,79,0.0030113359998722444
dc1_220.qasm,1536,2501,0.7914081339995391,1545,2209,9.053032208000332,1521,2468,133.26042700800008,1590,2593,0.0447380619998512
decod24-enable_126.qasm,261,463,0.11474931500015373,249,433,1.2436893069998405,258,457,16.012054884999998,258,446,0.00761867799974425
one-two-three-v2_100.qasm,48,88,0.02023681500031671,48,90,0.03250304499943013,45,88,0.02202238799964107,66,104,0.0042069330002050265
mod5adder_127.qasm,417,726,0.18230364800001553,351,620,3.198496483000781,396,746,26.033384872999704,375,668,0.010969097000270267
one-two-three-v3_101.qasm,45,91,0.019213143000342825,42,79,0.11679460999948788,45,90,0.049589821999688866,45,87,0.0025519709997752216
mod8-10_177.qasm,381,659,0.15813921799963282,396,547,0.27726425000037125,375,653,7.908713626000463,375,641,0.011336377000588982
sf_276.qasm,582,1067,0.3270870799997283,594,905,2.548909143999481,579,1064,11.641949652000221,669,1101,0.023188281999864557
cm42a_207.qasm,1494,2381,0.7606261369992353,1368,1943,19.36869246200058,1413,2319,160.02903624400005,1443,2331,0.03986485899986292
4gt12-v1_89.qasm,165,312,0.07465147700077068,162,257,0.456336747000023,150,287,5.73133152399987,189,310,0.0075035490008303896
pm1_249.qasm,1446,2367,0.6611363510000956,1257,1947,13.278222029000062,1404,2266,96.43425469900012,1443,2331,0.04197143499914091
mod10_171.qasm,180,318,0.08003953200022806,138,272,0.7755601449998721,168,306,6.5137114079998355,186,332,0.006677573999695596
decod24-v1_41.qasm,60,121,0.027802742000858416,60,106,0.042911159999675874,60,120,0.07048685799964005,57,115,0.002921600999798102
4gt12-v0_88.qasm,171,296,0.07616807099930156,138,221,0.4314046319996123,168,292,0.16563901399968017,150,262,0.006080501999349508
rd53_138.qasm,111,143,0.05167107200031751,105,140,2.1223307019999993,111,143,0.2449394459999894,81,116,0.003967919000388065
4gt4-v0_79.qasm,165,310,0.0720228619993577,162,282,0.16186009899956844,159,304,1.2450701510006184,177,312,0.006440941999244387
