,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
ex3_229.qasm,279,510,0.15900005800000372,231,439,2.559172984000014,231,439,3.0714088480000044,0.0,0.7743362831858407,0.5043665546275776,1.5919540229885059,2.729183212864311,237,475,0.017068193000000065
adr4_197.qasm,2583,4140,1.651887428000009,2184,3030,54.27137790399996,2253,3087,58.244263897999986,0.05328983143012507,0.8145731375747689,0.5710857217000208,2.0561872909698997,4.86247526788655,2355,4015,0.11068574799998032
one-two-three-v1_99.qasm,111,203,0.06709444500000927,99,169,0.10123883599999317,99,169,0.14740624699999216,0.0,0.7763157894736842,0.47569019690855835,1.206896551724138,1.0947936459577619,84,162,0.009388057000023764
mini-alu_167.qasm,225,405,0.11943316599996479,168,297,1.6574434300000007,168,297,1.8292872189999798,0.0,0.7777777777777778,0.5211573066470477,1.384,1.4685176199147216,177,351,0.01251104999994368
alu-v2_30.qasm,348,654,0.19646211499997435,273,470,3.443318137999995,273,476,3.672292531000039,0.0,0.7824561403508772,0.497404776046859,1.4774774774774775,1.8446262193551233,312,633,0.016745636999985436
4gt5_76.qasm,75,136,0.03963121700002148,63,92,0.5857778200000325,66,111,0.22308080799996333,0.125,0.8214285714285714,0.46702488680792925,1.288888888888889,1.2404698432846994,51,110,0.007557673000007981
rd53_131.qasm,312,561,0.1891400250000288,273,434,3.0361981759999708,270,453,3.1870171690000006,0.23754789272030652,0.7662835249042146,0.5351380923193345,1.8282828282828283,3.096235590051098,285,551,0.017099218999987897
mini_alu_305.qasm,117,158,0.07645120000000816,132,134,8.487809426000013,120,153,0.27772410500000433,0.7101449275362319,1.1159420289855073,0.7715264727076036,1.131578947368421,1.0303564184448364,114,155,0.011087892999967153
4mod7-v0_94.qasm,117,214,0.06410536399999955,90,168,0.6815783229999965,90,168,0.715095521999956,0.0,0.782608695652174,0.5070392952039391,1.4507042253521127,2.0195434736828077,96,194,0.008771496000008483
z4_268.qasm,2304,3731,1.3673664689999896,1875,2798,51.69512626200003,2121,2965,38.95967117199996,0.12104622871046229,0.8169099756690997,0.5772922692695561,2.02386278896346,4.307636455762435,2148,3603,0.12669382499996118
cm82a_208.qasm,492,804,0.4800167139999303,423,607,9.38753968200001,444,653,3.1952660800000103,0.29080118694362017,0.8397626112759644,0.5643913793694358,1.7224199288256228,3.206060072769664,414,736,0.02433754499998031
aj-e11_165.qasm,126,218,0.062391395000076955,99,188,0.09441084999991745,99,193,0.13462845799995193,0.43023255813953487,0.8023255813953488,0.47787726948917486,1.1764705882352942,0.938415066679048,81,171,0.008491292000030626
alu-v0_26.qasm,54,99,0.029699741000058566,45,84,0.3343863129999818,45,84,0.3732796489999828,0.0,0.7755102040816326,0.46358435475920606,1.3783783783783783,1.4768730910610002,54,108,0.008486666999942827
sym6_316.qasm,216,347,0.12396028499995282,204,286,6.618043704999991,198,288,2.6549645709999368,0.362962962962963,0.9111111111111111,0.5769224438109852,1.361344537815126,1.8819402308665902,198,333,0.014185983000061242
decod24-bdd_294.qasm,54,92,0.028371818000096027,39,76,1.6989793190000455,51,88,0.05513715099993988,1.0,0.8,0.45825756949558405,1.0,0.0,39,78,0.007621087000075022
dc1_220.qasm,1416,2285,0.807735118000096,1188,1854,19.50470434800002,1173,1834,20.74731364699994,0.09441233140655106,0.802504816955684,0.5504539092774611,1.7115384615384615,3.0905347960254046,1197,2177,0.048923818000048414
