,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
one-two-three-v2_100.qasm,48,88,0.02057239200001959,48,90,0.03382822399998986,48,89,0.04073182799999131,1.0,0.8,0.45825756949558405,1.2903225806451613,1.0834100402417202,63,97,0.0032297170000106235
mod5adder_127.qasm,456,814,0.22476819600001363,459,758,0.34841521900000316,456,797,0.4275031349999949,1.0,0.7913907284768212,0.5142267901443082,1.4915966386554622,2.0797979795208366,510,754,0.015505345999997644
one-two-three-v3_101.qasm,48,94,0.022075975999996444,45,88,0.04164123700002165,45,90,0.041038036999964334,1.0,0.8,0.45825756949558405,1.3225806451612903,1.4230158064588891,48,88,0.0021077279999985876
mod8-10_177.qasm,351,637,0.16410854000002928,366,580,0.29041584799995235,369,657,0.2834270029999857,1.0,0.7808764940239044,0.49276925889831863,1.471794871794872,2.125057913895431,390,614,0.01398745799997414
sf_276.qasm,576,1096,0.3389941199999953,594,987,0.6812751610000305,579,1100,0.5737240959999781,1.0,0.7724137931034483,0.5039361515779768,1.5761194029850747,2.541482089180155,609,1025,0.029256963000023006
cm42a_207.qasm,1659,2652,0.8983395650000148,1641,2122,6.763568641000006,1683,2632,1.3624644249999847,1.0,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1797,2659,0.06910512100000687
4gt12-v1_89.qasm,174,327,0.08870356600004925,174,297,0.11835003599998117,174,330,0.294330203999948,1.0,0.7692307692307693,0.5044183480232308,1.530612244897959,2.2186780474456875,180,301,0.008997196999985135
pm1_249.qasm,1713,2663,0.9009395030000178,1602,2147,5.371568486000001,1614,2511,1.3382302040000127,1.0,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1797,2659,0.07538505899998427
mod10_171.qasm,189,335,0.710330842000019,192,312,0.20134798799995224,189,331,0.15337842200000296,1.0,0.7769784172661871,0.5095232002770007,1.3364485981308412,1.380396294402748,171,337,0.004209492000029513
decod24-v1_41.qasm,57,117,0.024973564999982045,60,103,0.04053229599998076,54,114,0.04771128100003352,1.0,0.76,0.47159304490206383,1.3513513513513513,1.4743980212957686,63,121,0.0027778870000361167
4gt12-v0_88.qasm,165,291,0.07899124699997628,159,237,0.09168325699999968,165,289,0.2058810499999595,1.0,0.7962962962962963,0.5047782655718152,1.4470588235294117,2.020517594449741,156,238,0.011813605000043026
rd53_138.qasm,111,144,0.05558362499999703,111,150,0.518806020999989,111,144,0.07698660699998072,1.0,1.0714285714285714,0.6507452556531642,1.271186440677966,1.273331523457149,114,142,0.0057849140000030275
4gt4-v0_79.qasm,183,320,0.0823213450000253,171,296,0.1683883489999971,183,320,0.15117761999999857,1.0,0.7954545454545454,0.5036027228672805,1.4951456310679612,2.135569255901751,183,323,0.011286287000018547
alu-v3_34.qasm,42,80,0.017346012000018618,39,73,0.024893489000021418,42,81,0.03175682900001675,1.0,0.8,0.4,1.0,0.0,33,63,0.0018217040000081397
decod24-v3_45.qasm,105,218,0.05282920199999808,105,191,0.13262207100001433,105,216,0.09201347200001919,1.0,0.7619047619047619,0.5028264781414971,1.3968253968253967,1.5279375302995402,108,206,0.00391541099997994
4gt4-v0_80.qasm,159,268,0.07444369799998185,147,218,0.1565262380000263,159,265,0.1265268219999598,1.0,0.7821782178217822,0.49958320045714316,1.5,2.2403639814170306,141,237,0.0046646979999991345
mod8-10_178.qasm,294,489,0.13731952200004116,309,431,0.17070055099998171,294,493,0.21598592200001576,1.0,0.7875647668393783,0.510461314476697,1.56,2.342306555513176,303,477,0.012868216000015309
hwb4_49.qasm,177,341,0.09017341300000226,168,312,0.24723132100001521,174,335,0.13798709200000303,1.0,0.7985074626865671,0.4853041936683316,1.3018867924528301,1.3187316041514376,165,319,0.007463132999987465
4mod5-bdd_287.qasm,57,98,0.02646414299999833,51,93,0.03955731299998888,54,95,0.04248173399997768,1.0,0.7560975609756098,0.4294345576014392,1.0,0.0,39,80,0.002175039000007928
decod24-v0_38.qasm,30,64,0.013612289000036526,27,61,0.02274091800001088,30,64,0.03039695400002529,1.0,0.7666666666666667,0.42295258468165065,1.0,0.0,27,59,0.0022791660000507363
4gt4-v1_74.qasm,207,391,0.09715142900000728,201,358,0.14374055500002214,204,386,0.17028879599996571,1.0,0.7727272727272727,0.4904639636566674,1.4915254237288136,2.0901129752608196,234,378,0.00731129600001168
4gt12-v0_87.qasm,201,356,0.09385817800000495,192,316,0.11663951200000611,201,350,0.15567318200004365,1.0,0.8549618320610687,0.567869157660986,1.4545454545454546,1.9662440597441966,195,339,0.010165325999992092
4gt12-v0_86.qasm,204,359,0.09642970999999534,195,321,0.21535178800002086,213,364,0.1562216109999781,1.0,0.8592592592592593,0.5599333685619039,1.434782608695652,1.9252574521577228,204,352,0.012310603999992509
4mod5-v1_23.qasm,63,110,0.024855779999995775,54,97,0.037820411000041076,63,110,0.13825345099996866,1.0,0.7804878048780488,0.4139161645970035,1.064516129032258,0.2456701001891583,54,98,0.0024271080000062284
sf_274.qasm,588,1102,0.26128939699998455,603,1000,0.7978317569999831,588,1098,0.45228813900001796,1.0,0.7706422018348624,0.5181659173006583,1.5611940298507463,2.4667916938525396,672,1097,0.020409778999976425
4mod5-v0_18.qasm,60,106,0.02801116299997375,48,91,0.03580465799996091,60,106,0.047663423000017247,1.0,0.775,0.4175823272122517,1.0,0.0,51,92,0.003619868999976461
majority_239.qasm,480,868,0.21150619700006246,543,705,0.5229739050000717,480,868,0.35989294199998767,1.0,0.7761627906976745,0.5331033945803967,1.8339622641509434,3.3896036054898198,441,809,0.01096978099997159
hwb5_53.qasm,1128,1980,0.6158721629999491,1092,1753,1.0422330249999732,1101,1942,0.9646864740000183,1.0,0.7889182058047494,0.4794275843264963,1.4790619765494137,1.9700386763826911,1089,1875,0.046448456000007354
ham7_104.qasm,261,445,0.12867202300003555,261,436,0.2766696820000334,261,446,0.20954184999993686,1.0,0.8054054054054054,0.49316733958733155,1.3986486486486487,1.4965720509147749,237,430,0.008559471000012309
rd53_135.qasm,249,411,0.13029691299993829,270,341,0.9457717589999675,249,409,0.19628070999999636,1.0,0.8427672955974843,0.5555278660873858,1.621212121212121,3.5022293831178857,258,414,0.008116177000033531
rd32_270.qasm,57,113,0.025797208999961185,60,108,0.040266041999984736,63,117,0.04775228099993001,1.0,0.7659574468085106,0.42339890940707237,1.0,0.0,69,104,0.00316725300001508
cm152a_212.qasm,1002,1714,0.4688096439999754,1323,1401,2.053958709000085,999,1711,0.7909623379999857,1.0,0.7777777777777778,0.5410383970741005,1.830188679245283,3.2478489198097837,1233,1873,0.05702761800000644
4gt10-v1_81.qasm,105,207,0.049578355999983614,108,180,0.06942501100002119,108,211,0.09241307900003903,1.0,0.7857142857142857,0.48968961431436037,1.3846153846153846,1.4538258036833782,111,194,0.003694515000006504
qft_10.qasm,126,168,0.07416708699997798,186,197,0.4244092249999767,129,172,0.11024923799993758,1.0,1.4285714285714286,0.8491692619108098,1.5393258426966292,0.49845107893974905,174,250,0.007290690999980143
rd53_251.qasm,1209,1940,0.6598085910000009,1218,1541,3.3314553400000477,1203,1933,0.8862718980000182,1.0,0.7921348314606742,0.531634054907444,1.6263345195729537,2.7953730991661017,1104,1811,0.03224081600001227
squar5_261.qasm,2055,3007,0.9016297190000842,1782,2507,13.314361434000034,1953,2919,1.5548641089999364,1.0,0.8284080076263107,0.5567108922183257,1.9965397923875432,4.7123717044788815,1794,2767,0.05564394500004255
4gt4-v0_78.qasm,183,328,0.08883960600007867,183,307,0.1754672819999996,183,328,0.15200858499997594,1.0,0.7956204379562044,0.5001997576353815,1.462962962962963,2.0612200896283537,195,335,0.009394641999961095
4gt13-v1_93.qasm,45,85,0.02528702900008284,36,80,0.035080006000043795,45,86,0.04144392900002458,1.0,0.7692307692307693,0.5292248061679563,1.4827586206896552,1.793103448275862,45,84,0.00219749400002911
4gt4-v0_73.qasm,333,599,0.1692838550000033,345,497,0.32978663500000494,333,599,0.33252431400001115,1.0,0.788546255506608,0.504823518970107,1.4606741573033708,1.9317348538326709,333,546,0.01836688800005959
one-two-three-v0_97.qasm,216,430,0.10734023700001671,219,390,0.2579629430000523,225,440,0.18217530099991563,1.0,0.7852760736196319,0.5165046669901641,1.3937007874015748,1.4909568893515635,234,390,0.008288833000051454
rd84_142.qasm,327,350,0.20182281699999294,378,361,17.33350775200006,333,358,0.23107463999997435,1.0,1.4,0.9165151389911678,1.5620915032679739,2.5815586955978156,330,349,0.011023862999991252
4mod7-v1_96.qasm,126,235,0.06636209500004497,141,216,0.21920643400005702,126,235,0.10420036499999696,1.0,0.7659574468085106,0.5141721690891307,1.3380281690140845,1.3834399051052026,126,219,0.004356206000011298
f2_232.qasm,1143,1777,0.7586537490000183,987,1277,1.2737147929999537,1080,1771,0.824077989999978,1.0,0.7859281437125748,0.5338647428880741,1.8508604206500956,3.469717979075904,1143,1727,0.04400891199998114
sym9_146.qasm,279,386,0.12836466899989318,336,388,4.4467284280000285,279,392,0.24379414500003804,1.0,1.1653543307086613,0.6846319722609184,1.3310344827586207,1.3997791570337483,258,380,0.007634667000047557
alu-v4_36.qasm,87,167,0.036291565000055925,69,133,0.04962930400006371,87,170,0.06680644699997629,1.0,0.7727272727272727,0.4860307555256194,1.2448979591836735,1.1871869038570602,69,140,0.0026587529999915205
alu-bdd_288.qasm,66,116,0.03299401099991428,60,106,0.0454065689999652,66,116,0.05562113500002397,1.0,0.7916666666666666,0.45452967144315476,1.4444444444444444,2.465815669019127,69,108,0.003410467999970024
4gt5_75.qasm,57,119,0.02874422100001084,54,101,0.050641922999943745,60,121,0.06698392900000272,1.0,0.8085106382978723,0.5314891913530552,1.5405405405405406,1.7335262390080621,63,112,0.0057878180000443535
alu-v2_32.qasm,123,247,0.07153068799993889,135,229,0.16560071399999288,123,246,0.10667795400001978,1.0,0.782608695652174,0.5070392952039391,1.352112676056338,1.3850163119931853,123,237,0.0045012639999413295
qft_16.qasm,438,356,0.28693411800009017,750,563,24.959601539999994,372,372,0.3188250630000766,1.0,2.2857142857142856,1.2999215046945516,1.5397489539748954,0.49841751640356874,537,689,0.018712716999971235
decod24-v2_43.qasm,36,73,0.015080334000003859,27,62,0.021760267999979988,36,73,0.03106410500004131,1.0,0.7333333333333333,0.4422166387140533,1.0,0.0,30,64,0.0022928749999664433
cnt3-5_180.qasm,372,558,0.17677385199999662,378,380,3.3234803380000812,375,568,0.309585178999896,1.0,1.0287081339712918,0.7182772824801992,1.3981042654028435,1.5216591744399142,351,559,0.010556798999914463
sqrt8_260.qasm,2844,4465,1.4153810810000778,3060,3007,24.093822491999845,2811,4436,2.435359085000073,1.0,0.7920433996383364,0.5474776249072619,2.341463414634146,5.690641680554697,3108,4498,0.12101548500004355
4gt13_92.qasm,45,88,0.022334594999847468,45,75,0.03300266399992324,45,85,0.042680130999997345,1.0,0.7894736842105263,0.4677997061745046,1.5,1.679710859472121,57,99,0.0023530339999524585
cnt3-5_179.qasm,159,171,0.08844567799997094,159,151,7.527480652000122,159,171,0.12984113900006378,1.0,1.3934426229508197,0.9103897296337587,2.125,4.985917668794783,213,238,0.008095691999869814
ex2_227.qasm,492,875,0.22398147600006268,540,793,0.5192050439998184,504,893,0.5744754300001205,1.0,0.7746478873239436,0.514499157490969,1.9926739926739927,4.23399176385082,582,941,0.020958640000117157
rd73_140.qasm,222,267,0.1301129779999428,201,241,4.894415296000034,222,268,0.22761634000016784,1.0,1.1304347826086956,0.6791521457310136,1.3106796116504855,1.3583908685353556,207,275,0.008658271000058448
mod5d2_64.qasm,48,90,0.022152720999883968,48,72,0.03116479100003744,48,89,0.040344938000089314,1.0,0.78125,0.41339864235384227,1.0,0.0,39,76,0.0028138580000813818
wim_266.qasm,837,1450,0.40454395799997656,837,1240,7.212748604000126,867,1423,0.656969207999964,1.0,0.830739299610895,0.5856160397761396,1.624413145539906,2.782366550750996,933,1432,0.035285190999957194
rd53_133.qasm,480,872,0.24060963300007643,423,714,0.5511607630000981,486,879,0.3874005659999966,1.0,0.7828746177370031,0.5462804386142903,1.8313725490196078,3.162122034831675,495,800,0.017933884999820293
4gt4-v0_72.qasm,189,361,0.09618761199999426,225,352,0.36990152599992143,192,362,0.1621909279999727,1.0,0.8248175182481752,0.5523382310187624,1.4642857142857142,2.0784977895644943,216,339,0.013058173999979772
