,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
rd53_311.qasm,246,321,0.2170160739999858,270,278,4.3510791150000045,285,327,1.2881386170000155,1.0,0.6350006350009525,1.5867768595041323,2.9532708341142375,246,366,0.011884485999985372
4gt13_91.qasm,66,139,0.034892141000000265,69,123,0.19987911200001918,72,128,0.05964229799999998,0.8032786885245902,0.4728591836674085,1.2708333333333333,1.3028747594795473,75,139,0.004043421999995189
one-two-three-v0_98.qasm,108,204,0.05272999700000014,102,188,0.08291524899999558,102,188,0.07476031600000965,0.7926829268292683,0.5117593965452997,1.296875,1.2708226604743087,120,194,0.005802101000000448
4gt13_90.qasm,84,162,0.035620047999998405,75,125,0.3106764399999804,78,135,0.056394485999987864,0.8153846153846154,0.4605116783721774,1.25,1.2538402548233107,84,148,0.004307275000002164
ex3_229.qasm,294,513,0.14720512099998473,246,458,1.930573246000023,270,492,0.25251673000002484,0.7743362831858407,0.5043665546275776,1.5919540229885059,2.729183212864311,321,554,0.012223239999997304
adr4_197.qasm,2964,4651,1.5526423819999877,2865,3614,67.22640393500001,3042,3680,6.866204426999985,0.8145731375747689,0.5710857217000208,2.0561872909698997,4.86247526788655,2937,4477,0.09390073000000143
one-two-three-v1_99.qasm,105,200,0.043920320000012225,99,167,0.06770037799998363,99,167,0.06555321499999422,0.7763157894736842,0.47569019690855835,1.206896551724138,1.0947936459577619,111,181,0.005198849999999311
mini-alu_167.qasm,240,409,0.10739127700000495,240,359,0.4046613739999998,240,359,0.32512092900000766,0.7777777777777778,0.5211573066470477,1.384,1.4685176199147216,252,407,0.009739897999992309
alu-v2_30.qasm,444,758,0.19145673299999544,396,548,0.5229317069999979,396,547,0.4109796660000029,0.7824561403508772,0.497404776046859,1.4774774774774775,1.8446262193551233,390,690,0.012239481999984037
4gt5_76.qasm,69,135,0.02925162199997544,69,109,0.08121243700000491,69,108,0.0519752120000021,0.8214285714285714,0.46702488680792925,1.288888888888889,1.2404698432846994,78,132,0.004137509000003092
rd53_131.qasm,429,711,0.17886745900000278,429,526,0.4401743999999894,429,526,0.5335455969999998,0.7662835249042146,0.5351380923193345,1.8282828282828283,3.096235590051098,378,632,0.012535589000009395
mini_alu_305.qasm,144,215,0.06937610199997835,129,162,3.4664453159999766,129,161,0.5867770529999916,1.1159420289855073,0.7715264727076036,1.131578947368421,1.0303564184448364,135,162,0.00515746600001421
4mod7-v0_94.qasm,114,227,0.05309732199998507,129,205,0.13977637700003243,129,205,0.14021671399996194,0.782608695652174,0.5070392952039391,1.4507042253521127,2.0195434736828077,108,212,0.004684445999998843
z4_268.qasm,2679,4241,1.385880923000002,2616,3461,56.73122744300002,2715,3306,6.2852450600000225,0.8169099756690997,0.5772922692695561,2.02386278896346,4.307636455762435,2427,4070,0.08031566599998996
cm82a_208.qasm,498,925,0.2407603849999873,474,774,5.396678081999994,471,805,0.9217518529999893,0.8397626112759644,0.5643913793694358,1.7224199288256228,3.206060072769664,531,841,0.016686580999987655
aj-e11_165.qasm,117,208,0.05045193200004405,99,188,0.07034496900001841,99,188,0.06696816999999555,0.8023255813953488,0.47787726948917486,1.1764705882352942,0.938415066679048,99,189,0.004091793999975835
alu-v0_26.qasm,66,122,0.029786663999971097,66,108,0.043588960000022325,66,108,0.04497031699997933,0.7755102040816326,0.46358435475920606,1.3783783783783783,1.4768730910610002,72,118,0.003641600000037215
sym6_316.qasm,234,337,0.1138986199999863,255,268,8.22251511799999,264,305,0.6727677220000032,0.9111111111111111,0.5769224438109852,1.361344537815126,1.8819402308665902,243,341,0.009834638999961953
decod24-bdd_294.qasm,48,86,0.0311323589999688,48,92,0.18215353599998707,48,92,0.09464628500001027,0.8,0.45825756949558405,1.0,0.0,45,79,0.003929325999990851
dc1_220.qasm,1464,2493,0.8184494980000068,1422,2131,9.706962167000029,1650,2210,1.9611052420000306,0.802504816955684,0.5504539092774611,1.7115384615384615,3.0905347960254046,1590,2593,0.04665713099996083
decod24-enable_126.qasm,264,503,0.132314268000016,246,439,0.16673157899998614,246,439,0.16710922599997957,0.7842105263157895,0.47101587624906055,1.4081632653061225,1.5507518564500302,258,446,0.00881360500000028
one-two-three-v2_100.qasm,45,88,0.018803387999980714,48,90,0.03280717799998456,48,90,0.035392223999963335,0.8,0.45825756949558405,1.2903225806451613,1.0834100402417202,66,104,0.005278178000025946
mod5adder_127.qasm,414,709,0.19787228000001278,369,619,3.2498925639999925,399,657,0.5576574560000154,0.7913907284768212,0.5142267901443082,1.4915966386554622,2.0797979795208366,375,668,0.012666905000003226
one-two-three-v3_101.qasm,48,94,0.019612914999981967,45,88,0.03222281099999691,45,88,0.031131041000037385,0.8,0.45825756949558405,1.3225806451612903,1.4230158064588891,45,87,0.002454011000054379
mod8-10_177.qasm,393,656,0.16640847899998334,357,491,0.8708456260000048,366,517,0.3360675690000221,0.7808764940239044,0.49276925889831863,1.471794871794872,2.125057913895431,375,641,0.012205835000031584
sf_276.qasm,678,1187,0.3279887890000168,618,864,0.8226502279999863,618,863,0.4441629199999966,0.7724137931034483,0.5039361515779768,1.5761194029850747,2.541482089180155,669,1101,0.022852069999999003
cm42a_207.qasm,1494,2434,0.6719968799999947,1476,1833,17.790291613000022,1539,1982,2.3093329629999744,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1443,2331,0.041374735000033525
4gt12-v1_89.qasm,201,346,0.2093143760000089,180,258,0.11225529300003245,180,258,0.11055853699997442,0.7692307692307693,0.5044183480232308,1.530612244897959,2.2186780474456875,189,310,0.007872290000022986
pm1_249.qasm,1533,2555,0.7924691629999643,1479,1852,15.958336489999965,1503,1805,1.7877452629999766,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1443,2331,0.04340731100000994
mod10_171.qasm,195,357,0.09463364599997703,162,289,0.5310862989999805,168,318,0.13378516199998103,0.7769784172661871,0.5095232002770007,1.3364485981308412,1.380396294402748,186,332,0.0075300010000205475
decod24-v1_41.qasm,57,118,0.024726670000006834,60,103,0.043734190999998646,60,103,0.041468205000001035,0.76,0.47159304490206383,1.3513513513513513,1.4743980212957686,57,115,0.00296151100002362
4gt12-v0_88.qasm,168,290,0.07414676999997027,156,219,0.12245104599998058,156,219,0.12223127199996497,0.7962962962962963,0.5047782655718152,1.4470588235294117,2.020517594449741,150,262,0.006647197999996024
rd53_138.qasm,114,149,0.052743441000018265,120,155,0.8550141809999445,120,155,0.3883720200000198,1.0714285714285714,0.6507452556531642,1.271186440677966,1.273331523457149,81,116,0.004016256999989309
4gt4-v0_79.qasm,189,332,0.16683635300000788,180,246,1.1276812770000788,183,267,0.18362851599999885,0.7954545454545454,0.5036027228672805,1.4951456310679612,2.135569255901751,177,312,0.007283755999992536
alu-v3_34.qasm,42,78,0.018826300999990053,36,71,0.027279351999936807,36,71,0.028819087999977455,0.8,0.4,1.0,0.0,39,68,0.0030851379999603523
decod24-v3_45.qasm,111,206,0.051236685000048965,102,188,0.07416787800002567,102,188,0.07285930199998347,0.7619047619047619,0.5028264781414971,1.3968253968253967,1.5279375302995402,99,196,0.004363431000001583
4gt4-v0_80.qasm,159,270,0.0667127149999942,126,198,0.08221988299999339,126,198,0.08488948100000471,0.7821782178217822,0.49958320045714316,1.5,2.2403639814170306,147,230,0.006516258000033304
mod8-10_178.qasm,261,474,0.6105727909999814,228,392,1.5965823100000307,273,426,0.3060345779999807,0.7875647668393783,0.510461314476697,1.56,2.342306555513176,330,534,0.02619455400008519
hwb4_49.qasm,168,335,0.08249744999989161,165,293,0.5936171089999789,165,293,0.1794729369999004,0.7985074626865671,0.4853041936683316,1.3018867924528301,1.3187316041514376,165,309,0.0076078789999201035
4mod5-bdd_287.qasm,66,101,0.025894259999972746,60,95,0.036759519999918666,60,95,0.03782585699991614,0.7560975609756098,0.4294345576014392,1.0,0.0,39,79,0.002331481999931384
decod24-v0_38.qasm,30,64,0.013677816999916104,27,61,0.02450422200001867,27,61,0.02855728600002294,0.7666666666666667,0.42295258468165065,1.0,0.0,27,60,0.00257171600003403
4gt4-v1_74.qasm,222,411,0.10007842200002415,222,339,0.1505413720000206,222,339,0.15002424800002245,0.7727272727272727,0.4904639636566674,1.4915254237288136,2.0901129752608196,204,356,0.00812397200002124
4gt12-v0_87.qasm,195,338,0.09922642499998346,204,265,2.701635787999976,207,287,0.1493177029999515,0.8549618320610687,0.567869157660986,1.4545454545454546,1.9662440597441966,186,310,0.007045276999974703
4gt12-v0_86.qasm,195,345,0.09727776799991261,210,272,3.021255842999949,216,271,3.59826041000008,0.8592592592592593,0.5599333685619039,1.434782608695652,1.9252574521577228,198,326,0.008250429999975495
4mod5-v1_23.qasm,57,109,0.024564639000004718,51,93,0.038936797000019396,51,93,0.03814876399997047,0.7804878048780488,0.4139161645970035,1.064516129032258,0.2456701001891583,51,91,0.00413440600004833
sf_274.qasm,675,1190,0.2979482219999454,603,858,0.8547389120000162,603,878,0.6494634609999821,0.7706422018348624,0.5181659173006583,1.5611940298507463,2.4667916938525396,594,1038,0.022396649000029356
4mod5-v0_18.qasm,57,102,0.026518777999967824,48,89,0.036495137999963845,48,89,0.038727467000057914,0.775,0.4175823272122517,1.0,0.0,51,83,0.003915829999982634
majority_239.qasm,453,840,0.22581769099997473,423,737,2.359690410999974,456,787,0.42487467900002684,0.7761627906976745,0.5331033945803967,1.8339622641509434,3.3896036054898198,477,809,0.016227511000010963
hwb5_53.qasm,1014,1765,0.6172481610000204,885,1478,8.166648879999912,996,1604,1.1023133119999784,0.7889182058047494,0.4794275843264963,1.4790619765494137,1.9700386763826911,1128,1917,0.03316835400005402
ham7_104.qasm,255,445,0.13870425799996156,228,344,1.5966441719999693,234,388,0.2812743539999474,0.8054054054054054,0.49316733958733155,1.3986486486486487,1.4965720509147749,219,422,0.0075991259999455
rd53_135.qasm,261,414,0.11485736300005556,249,352,0.41588408500001606,249,351,0.38149732899989885,0.8427672955974843,0.5555278660873858,1.621212121212121,3.5022293831178857,276,395,0.010327413000027263
rd32_270.qasm,60,114,0.026777260000017122,60,102,0.04115568300005634,60,102,0.04440892899992832,0.7659574468085106,0.42339890940707237,1.0,0.0,57,103,0.003257602999951814
cm152a_212.qasm,1014,1699,0.497070487999963,1014,1404,8.397391965999986,984,1504,1.4560510850000128,0.7777777777777778,0.5410383970741005,1.830188679245283,3.2478489198097837,1023,1677,0.030989432000069428
4gt10-v1_81.qasm,108,211,0.049594245999969644,108,180,0.07500350199995864,108,180,0.07340629999998782,0.7857142857142857,0.48968961431436037,1.3846153846153846,1.4538258036833782,111,200,0.004999066000095809
