,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,A* CNOTs,A* Depth,A* Time,A* Memory
decod24-v0_38.qasm,23,53,61,0.0686197089999041,103.7861328125,50,58,4.631568161999894,2640.189453125,50,60,0.32938677100173663,253.677734375,50,55,0.008746063998842146,4.1748046875
ising_model_10.qasm,90,105,123,0.19872006600053282,522.4404296875,120,100,3.192987311998877,3518.9384765625,120,98,0.6313301409973064,815.0185546875,0,0,0.0,0.0
4gt4-v1_74.qasm,119,311,365,0.4395730680007546,541.5205078125,281,324,43.35645760400075,14317.9638671875,308,344,3.041258558001573,933.0,284,317,0.014909823999914806,7.4970703125
4gt12-v0_87.qasm,112,289,283,0.4277617179977824,477.900390625,247,270,73.64794813700064,410.73046875,259,276,2.593073487998481,858.1650390625,262,280,0.014699907002068358,6.9912109375
4gt12-v0_86.qasm,116,287,322,0.40292642199710826,496.208984375,266,287,68.22092024800077,12696.3037109375,281,302,3.467240074001893,788.5498046875,269,286,0.015239382999425288,7.06640625
4mod5-v1_23.qasm,32,89,100,0.12227281999730621,158.501953125,74,87,3.4783633789993473,1932.115234375,74,86,0.4763903109997045,314.783203125,77,85,0.010581899998214794,4.484375
sf_274.qasm,336,912,953,1.3710234979989764,1477.591796875,771,884,321.4440444539978,72156.755859375,855,952,13.95146952199866,3703.9189453125,807,884,0.030283263000455918,14.93359375
4mod5-v0_18.qasm,31,79,87,0.10936995399970328,145.1728515625,67,78,7.0213499539968325,3410.7666015625,70,81,0.5349057179992087,364.654296875,73,79,0.010107587000675267,4.4609375
majority_239.qasm,267,699,752,1.0183423250018677,1182.0654296875,612,695,208.17082778199983,47633.5009765625,675,734,12.373855421999906,3050.8388671875,645,727,0.02487814399864874,12.5703125
hwb5_53.qasm,598,1555,1762,2.3247600239992607,2536.849609375,1336,1552,529.683876875999,106455.021484375,1435,1608,22.52073164900139,2209.95703125,1411,1539,0.04605489599998691,23.07421875
ham7_104.qasm,149,389,429,0.554953247999947,599.5283203125,329,367,139.11605968000003,20252.6357421875,338,382,6.56197351299852,1313.1064453125,341,362,0.017884897002659272,8.1669921875
