,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
decod24-enable_126.qasm,162,348,0.10664625700019315,156,357,21.335760132999894,171,365,0.9018189120001807,108,289,0.005658962999859796
one-two-three-v2_100.qasm,33,75,0.016076772999895184,24,64,1.6888868759997422,24,64,0.0791105170001174,21,61,0.001731055999698583
mod5adder_127.qasm,279,586,0.1500310499995976,162,462,13.928768923999996,195,500,1.0101490719998765,192,493,0.008728496999992785
one-two-three-v3_101.qasm,33,77,0.01619587799996225,24,66,0.3565986600001452,24,66,0.08869673900017006,33,77,0.003004972999860911
mod8-10_177.qasm,207,494,0.13784119599995392,144,406,22.415706654999667,123,360,0.7558671690003393,174,424,0.010242904999813618
sf_276.qasm,390,868,0.2315291480003907,162,591,26.540278707000198,261,702,1.8506872540001496,312,753,0.014745990999927017
cm42a_207.qasm,672,1616,0.5695193149999795,375,1274,60.72272350100002,585,1475,3.664343658999769,711,1632,0.052834788000382105
4gt12-v1_89.qasm,96,226,0.056281255000158126,90,220,2.9738013159999355,102,236,0.3537950179998006,57,178,0.004327859000113676
pm1_249.qasm,570,1539,0.3852014680001048,468,1342,67.99595750900016,705,1565,2.6903611969996746,711,1632,0.04388420800023596
mod10_171.qasm,150,301,0.07639325899981486,111,254,12.38786505600001,111,255,0.47128699499990034,66,200,0.005396001999997679
decod24-v1_41.qasm,57,112,0.04201694799985489,36,92,1.1592154380000466,39,83,0.10664156199982244,33,86,0.0025160470004266244
