,size,depth,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std."
620,300,62,648,390,0.41206217999979344,618,282,1.4055885849998049,0.7931034482758621,0.6887925639806268,2.922222222222222,4.153252481229561
621,300,73,672,397,0.3242562430000362,657,336,0.9125176299999112,0.6729559748427673,0.7224770053219813,3.238095238095238,6.485917065566434
622,300,66,633,364,0.3184792140000354,681,308,2.7566386489997967,0.7727272727272727,0.8033161298067614,2.242424242424242,2.9952518286428043
623,300,60,642,318,0.3555393219999132,738,308,2.2128702580002937,0.8467741935483871,0.7935664173141816,3.0294117647058822,3.981466579612025
624,300,76,858,499,0.41305565899983776,846,405,1.6398676840003645,0.80625,0.7202158964505019,3.238095238095238,5.156947188830814
625,300,63,621,359,0.3223599960001593,627,295,0.9949077310002394,0.8347107438016529,0.8266941776971033,3.0918367346938775,6.05600854388008
626,300,75,642,433,0.3018966970003021,765,361,0.8969481549997909,0.6606060606060606,0.6178846582270513,3.5943396226415096,7.907219416680202
627,300,57,624,364,0.33357899900011034,678,336,1.5957090830002016,0.9099099099099099,0.8003326960184796,2.57,3.3801035487097137
628,300,70,723,389,0.4543075299998236,705,360,0.7945638979999785,0.7243589743589743,0.6940564333509711,2.873873873873874,4.320738002354817
629,300,87,699,504,0.31047102299999096,714,321,1.1788203500000236,0.6424581005586593,0.6648279419357425,2.265486725663717,4.07021927420247
630,300,85,735,466,0.4081907030004004,720,394,1.2746272040003532,0.6358381502890174,0.7052970655569777,1.980952380952381,3.2218922342562917
631,300,51,747,401,0.431044115000077,786,322,1.6102138739997827,1.0961538461538463,0.882732109040654,2.810810810810811,3.4784109282586315
632,300,81,807,488,0.38742745700028536,783,367,0.6435155510002915,0.69375,0.6422312180982797,2.8073394495412844,4.213297133835332
633,300,79,780,528,0.4526968219997798,780,353,1.2465288439998403,0.6304347826086957,0.6871078534469176,2.4210526315789473,3.822589222719461
634,300,76,699,419,0.31614587600006416,735,338,1.203375823999977,0.7631578947368421,0.7046540967892571,2.473684210526316,3.81182492168913
635,300,69,675,398,0.32121271799996975,792,346,1.476609488000122,0.7133333333333334,0.7149514358021498,2.174757281553398,2.5098918263388774
636,300,76,813,497,0.35931761499978165,843,382,4.15815160000011,0.773972602739726,0.6901513427949836,2.4954954954954953,3.7509731442998873
637,300,59,864,415,0.5358580259999144,861,439,1.986766168000031,0.9590163934426229,0.8626830144020526,2.7787610619469025,4.391735023670012
638,300,67,684,444,0.33898658699990847,708,325,2.3030739119999453,0.7857142857142857,0.8087531345553235,2.0095238095238095,2.380457091341665
639,300,75,753,450,0.4378755860002457,786,382,1.2789871509999102,0.8111888111888111,0.7285491757000839,2.495575221238938,4.141574010999871
640,300,70,669,432,0.30106262099980086,681,366,0.785150233999957,0.7357142857142858,0.6393156417575894,2.3737373737373737,2.9114398485343136
641,300,67,732,432,0.36105174200019974,738,374,2.206489996000073,0.8432835820895522,0.7808766372265681,3.2432432432432434,5.775400171332799
642,300,84,708,489,0.33055686599982437,732,362,1.0333832830001484,0.6379310344827587,0.616766014857205,2.824074074074074,5.07686966783102
643,300,76,741,435,0.3533496519999062,735,349,1.161616980999952,0.6951219512195121,0.6929791534231888,3.125,6.954090522850562
644,300,74,795,470,0.4679708329999812,846,392,4.847183013000176,0.7718120805369127,0.803689523754239,2.2410714285714284,2.89779945979422
645,300,68,810,468,0.39619884699959584,786,390,2.56596478199981,0.8297872340425532,0.7805930352274103,2.56140350877193,3.4869055494614245
646,300,62,735,421,0.36549458400031654,762,373,2.4001054229997862,0.9338842975206612,0.7792297233932673,2.759259259259259,3.6231518158825176
647,300,75,759,472,0.3489435129999947,768,315,1.321899406999819,0.7397260273972602,0.7314350177650683,2.7596153846153846,4.772709261857971
648,300,84,951,535,0.4347992409998369,966,486,1.0586448509998263,0.7243243243243244,0.6448990725165075,2.5,3.738057907935205
649,300,75,699,438,0.3189586469998176,771,338,2.3561621429998922,0.7402597402597403,0.83592389827294,2.630630630630631,5.618386687624338
650,300,80,867,473,0.42104632600012337,939,411,1.9136616850000792,0.7321428571428571,0.6855065409513426,3.239669421487603,5.359821129043948
651,300,67,600,396,0.3724234910000632,672,316,1.039049538999734,0.7299270072992701,0.6336506398309695,3.0927835051546393,5.297504711618936
