,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.","In Layer Distance, mean","In Layer Distance, std."
13,1095,666,0.9880430100000126,1029,856,11.598992073000034,0.49453551912568305,0.5469464940171265,2.5224719101123596,9.492282528324028,1.8469945355191257,12.231759218940425
14,882,502,0.9877674549999824,987,588,49.983267308999984,0.7554585152838428,0.7771453665615599,3.335294117647059,5.746553051379439,13.475982532751091,39.56935859119367
15,513,332,0.3707077000000254,468,389,6.069834722999985,0.5,0.5557189302262113,2.4444444444444446,6.14508462882314,1.7745098039215685,10.375694508051673
16,336,245,0.3317359200000283,351,278,18.178823391000037,0.7431192660550459,0.696039513335437,4.0131578947368425,8.42067227759448,9.504587155963304,27.69447460978685
17,852,462,0.9949636220000002,870,528,39.14451206399997,0.7766990291262136,0.7231543475547989,4.180645161290323,10.081263981006282,12.0,38.50860451067038
18,258,183,0.1468687070000101,297,260,5.532335664000016,0.5585585585585585,0.5802249437154818,2.135593220338983,5.567635371604402,2.4684684684684686,11.927574094531431
19,147,152,0.09063926700002867,150,147,6.540101797000034,0.6835443037974683,0.6851832203911067,2.235294117647059,4.133024507568456,8.582278481012658,31.88928933913955
20,801,501,0.6886704620000046,840,614,42.585350800000015,0.6386554621848739,0.7128012255713698,2.7086092715231787,5.476729100661565,10.260504201680673,38.83231829653743
21,864,520,0.49681110599999556,855,588,19.364025728999934,0.569811320754717,0.6233158155458406,3.1554054054054053,7.333478248009252,4.784905660377358,22.79595624705213
22,426,298,0.3050192150000157,450,338,10.096938465999983,0.78125,0.7899515412352837,2.6736842105263157,4.344245086774136,17.078125,60.94152030007436
23,1035,640,0.6905271770000354,1002,681,25.098567738000042,0.631578947368421,0.6657426652986062,3.050561797752809,7.391364891904752,8.603508771929825,35.977000279234346
24,222,188,0.10473531300010563,168,202,0.6391506549999804,0.43902439024390244,0.512388658750853,1.4150943396226414,2.4528301886792443,0.7317073170731707,8.081971475990676
25,648,426,0.4104652139999416,624,477,8.700092880000057,0.5821596244131455,0.6272834589723599,2.5371900826446283,5.395194253220573,6.929577464788732,26.263019902049617
26,510,269,0.34691555400002017,516,336,21.954882628000064,0.7846153846153846,0.8319080513597401,3.505050505050505,6.197708500245465,20.323076923076922,59.84636938857765
