,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE TVD,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight TVD,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,ForeSight SSOnly TVD,A* CNOTs,A* Depth,A* Time,A* Memory
cnt3-5_179.qasm,283,197,0.35740817501209676,476.1865234375,0.0,319,196,82.65863059193362,7431.927734375,0.0,343,194,6.291514934040606,1383.671875,0.0,298,238,0.025172863039188087,5.625
rd73_140.qasm,317,312,0.3468143519712612,546.88671875,0.0,311,251,53.989688897971064,5868.556640625,0.0,317,246,4.938754825969227,478.51171875,0.0,311,275,0.013648013933561742,5.951171875
mod8-10_177.qasm,592,676,0.643173060961999,923.818359375,0.0,592,654,7.190653399913572,8146.828125,0.0,622,692,1.427508731954731,1544.3447265625,0.0,586,614,0.013850613962858915,9.3564453125
majority_239.qasm,822,940,0.9014661330729723,1299.3154296875,0.0,762,869,15.994588291971013,12113.1953125,0.0,783,892,1.6729243519948795,2193.6484375,0.0,708,809,0.028771654004231095,11.6435546875
4mod5-v0_19.qasm,49,62,0.04884081706404686,103.498046875,0.0,40,50,0.08398693893104792,251.20703125,0.0,40,50,0.08078536298125982,214.171875,0.0,37,43,0.0031138359336182475,2.689453125
4gt4-v1_74.qasm,347,417,0.3596931720385328,563.0224609375,0.0,359,388,3.1700701320078224,4094.9873046875,0.0,371,400,0.9987560650333762,522.74609375,0.0,353,378,0.009767965064384043,6.61328125
rd32-v1_68.qasm,37,48,0.03664513200055808,82.912109375,0.0,37,47,0.0773669210029766,216.392578125,0.0,37,45,0.07630238204728812,184.169921875,0.0,34,40,0.0032769229728728533,2.6787109375
alu-v3_35.qasm,48,58,0.046925472910515964,103.81640625,0.0,39,44,0.10682132793590426,170.0361328125,0.0,39,44,0.05661542690359056,171.2236328125,0.0,39,40,0.002697436953894794,2.71875
decod24-enable_126.qasm,419,507,0.489150571054779,693.1005859375,0.0,422,475,1.4671896700747311,2002.90625,0.0,422,473,1.4276117209810764,1549.255859375,0.0,452,474,0.01054782303981483,7.7314453125
4gt4-v0_80.qasm,241,271,0.2559300659922883,433.0888671875,0.0,259,274,3.7637391809839755,4652.0908203125,0.0,265,277,0.9214516970096156,443.74609375,0.0,220,237,0.005656384979374707,4.9912109375
4mod5-v0_20.qasm,25,30,0.02503376395907253,59.271484375,0.0,22,26,0.0891892759827897,121.5888671875,0.0,22,26,0.03720157302450389,124.7216796875,0.0,22,25,0.0023149140179157257,2.4755859375
mini-alu_167.qasm,363,423,0.4450098199304193,645.146484375,0.0,384,430,11.740955692017451,5342.3330078125,0.0,396,446,1.4550622070673853,1371.32421875,0.0,345,397,0.026074497029185295,6.689453125
hwb5_53.qasm,1816,2009,2.0760241479147226,3129.2578125,0.0,1858,1989,54.88212583097629,40935.15625,0.0,1897,2037,7.39743517502211,2651.58984375,0.0,1687,1875,0.05450339999515563,23.44140625
rd53_135.qasm,392,444,0.4203849259065464,679.548828125,0.0,404,424,15.602558695012704,11899.7158203125,0.0,407,426,2.9819128430681303,1296.4921875,0.0,0,0,0.0,0.0
miller_11.qasm,59,73,0.0584153460804373,122.6083984375,0.0,50,61,0.07141050999052823,194.201171875,0.0,50,61,0.07140427501872182,176.732421875,0.0,50,58,0.005763206980191171,2.8896484375
