,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
4mod5-v1_23.qasm,32,16,52,0.15885550799976045,1,9,51,0.3569298570000683,2,13,53,0.27887217399984365,0,1,5,44,0.5106619350008259,22,19,2,24,69,0.3686295500010601,2,16
sf_274.qasm,336,145,642,1.6750077449996752,33,181,584,7.0203393819992925,9,85,483,1.3632170050004788,0,3,51,460,14.237380503000168,222,214,45,333,774,4.5856915099993785,14,16
4mod5-v0_18.qasm,31,3,41,0.12027463800041005,0,3,38,0.20498387800034834,0,3,41,0.16476443499959714,0,0,2,40,0.3737805020009546,23,17,1,3,41,0.20497681300003023,0,16
majority_239.qasm,267,112,467,1.3993858609992458,22,132,439,5.120210553999641,8,144,477,1.490575819998412,0,16,59,376,10.405694835000759,186,158,17,347,685,4.466278194999177,15,16
hwb5_53.qasm,598,515,1386,3.701468125000247,78,409,1106,10.298232163000648,21,366,1119,3.0263876489989343,0,20,178,852,36.3146791399995,430,328,55,671,1461,11.046537807000277,48,16
ham7_104.qasm,149,116,319,0.8380040510000981,16,101,264,3.1617739389985218,9,80,257,0.8184260190009809,0,6,27,191,4.892933823999556,99,86,19,131,320,2.0527789650004706,10,16
rd53_135.qasm,134,71,240,0.6977715140001237,11,73,229,2.0579996399992524,9,71,214,0.6281228419993568,0,2,34,172,3.783955281998715,101,58,12,115,285,1.838894922999316,5,16
rd32_270.qasm,36,6,58,0.1816150779995951,2,6,55,0.43045130599966797,2,18,65,0.20899789199938823,0,0,-3,42,0.5520714400008728,25,22,3,20,80,0.3654189859989856,4,16
cm152a_212.qasm,532,195,853,2.390084662998561,33,280,888,10.838391699000567,10,256,890,2.603174374000446,0,22,145,720,35.19226242199875,359,325,47,412,1083,6.9763159489993996,24,16
4gt10-v1_81.qasm,66,55,146,0.39569095200022275,7,36,114,1.0626110869998229,4,27,103,0.324175235000439,0,0,9,87,1.737701673000629,48,36,8,34,109,0.6664182959993923,1,16
qft_10.qasm,90,-54,30,0.354009815999234,46,10,82,4.5732201360006,28,-48,37,0.5272735579983419,0,46,5,73,4.178051655000672,38,25,23,-24,63,0.9805412469995645,48,16
rd32-v0_66.qasm,16,-4,16,0.06691502799912996,2,-4,16,0.08210807799878239,2,-4,16,0.1162796589997015,0,2,-4,16,0.13611035299982177,12,8,2,-1,24,0.25423723899984907,2,16
rd53_251.qasm,564,289,1018,3.0051294109998707,42,332,955,8.732258821000869,14,460,1189,3.0562801969990687,0,29,145,831,34.51243340700057,368,344,46,585,1345,9.096442116000617,34,16
qe_qft_4.qasm,27,-5,33,0.10304753300079028,2,-5,33,0.1415316239999811,2,-5,33,0.16701161000128195,0,2,-7,30,0.2589976369999931,22,14,3,-8,33,0.22032364900042012,3,5
alu-v3_35.qasm,18,3,21,0.08010257100067975,0,3,23,0.12400883999907819,0,7,27,0.11862703899896587,0,1,1,22,0.26483015499979956,16,6,0,6,22,0.1581720319991291,0,16
squar5_261.qasm,869,639,1767,5.278293334999034,123,655,1552,28.620207227999344,33,611,1560,4.413118395999845,0,36,327,1204,69.57735780700023,584,465,58,1129,2132,16.79161059800026,51,16
4gt4-v0_78.qasm,109,50,195,0.5763764370003628,12,36,168,2.232858793999185,5,48,180,0.6298272439998982,0,5,13,136,3.0202503250002337,74,63,19,138,269,2.0364269879992207,5,16
4gt13-v1_93.qasm,30,0,36,0.11466480799936107,0,0,36,0.14977442199960933,0,16,62,0.2241914669994003,0,4,0,36,0.28731639699981315,24,15,0,27,73,0.2921814559995255,2,16
4gt4-v0_73.qasm,179,61,274,0.7358567980008957,4,44,257,1.7299992280004517,4,78,297,0.7979934840004717,0,4,38,250,6.404242509999676,117,110,10,127,340,1.7365226930014614,6,16
one-two-three-v0_97.qasm,128,37,208,0.5787596919999487,7,33,198,1.1032977380000375,3,83,234,0.6521320089996152,0,4,16,174,2.6574578099989594,78,85,6,117,265,1.3433591080010956,3,16
rd84_142.qasm,154,92,214,0.871935482000481,19,102,211,16.080815861998417,15,78,214,0.8383371019990591,0,12,43,137,14.500355157999365,75,35,24,152,253,2.3073526099997252,8,16
4mod7-v1_96.qasm,72,33,138,0.36097068399976706,5,28,110,2.7672688879993075,3,44,122,0.40709329600031197,0,2,13,98,1.5886069410007622,55,39,7,30,122,0.6308825510004681,2,16
